id,jobnumber,query,prevalidated
200b25a5bee64e5eb582a4420784284e111,1.0,"buying and selling of many types of provisions goods like soap, omo, maggi, salt, sugar,vegetables and groundnut oils and other provisions goods buying and selling of provisions goods like soap, omo, maggi, salt, vegetables and groundnut oils and others",4711
200b25a5bee64e5eb582a4420784284e121,1.0,"making many types of cake like akara cake, awara cake, cassava cake and other cake for sales selling prepared and fried awara food to customers",5610
82e65dcc2b5b4ded93bcaad8a16ae39a111,1.0,buying and selling of many types of vehicles spare parts like motorcycle spare parts and other parts buying and selling of motorcycle spare parts,4540
82e65dcc2b5b4ded93bcaad8a16ae39a121,1.0,"raising many types of livestock like goats, sheeps, cattle, rams and other livestock for sales raising livestock like goats and sheeps for sales",0144
82e65dcc2b5b4ded93bcaad8a16ae39a131,1.0,"raising many types of livestock like goats, sheeps, and other animals for sales raising livestock like goats and sheeps for sales",0144
654339705b1044618a08a29dc1423e41111,1.0,"trader, buying and selling of many types of goods like caps,perfume and many other goods, buying and selling of new caps and perfume",4772
654339705b1044618a08a29dc1423e41121,1.0,"raising many types of livestock like goats, sheeps and chicken for sales and other livestock raising livestock like goats, sheeps and chicken for sales",0144
26d9336cf0944eecaaa3cc3f91c35a4a111,1.0,"buying and selling of livestock like goats, sheeps, cattle, rams, camel and many other animals buying and selling of livestock like goats and sheeps",4620
26d9336cf0944eecaaa3cc3f91c35a4a121,1.0,"using many types of beans for making many types of cake like akara cake, awara cake, cassava cake and other cake for sales selling of prepared and fried awara food to customers",5610
17ec9d70848e4142a573d76fdfdc7153111,1.0,"prepare and cook many types of foods for sales, like yuwo food, rice and beans, guinea corn food, maize food and other foods prepared and cooked rice and beans for sales to customers",5610
17ec9d70848e4142a573d76fdfdc7153121,1.0,"preparing and cooking many types of foods for sales, like rice and beans, rice food, guinea corn food, maize food and other foods for sales selling prepared and cooked rice and beans to customers",5610
30d38a3d81a7407a94532263e950e45c111,1.0,"trader,  buying and selling of many types of provision goods like sugar, salt, maggi, groundnut and other provision goods buying and selling of provision goods like sugar, salt, maggi,groundnut and other provision goods",4781
30d38a3d81a7407a94532263e950e45c121,1.0,"shoe shanner, washing many types of shoes, repairing, shoes, bags and others washing shoes and repairing shoes and bags",9523
30d38a3d81a7407a94532263e950e45c131,1.0,"raising many types of animals for sales, like cows, sheeps, goat, chickens and many other animals raising livestock for sales, like goats and chickens",0144
5ae5e4e616ad4880ad6b762c2a6afb59111,1.0,"buying and selling of many different kinds of vegetables  and fruit , like  orange, tomatoes, papper, onions and others buying and selling of vegetables and fruit, like  orange,tomatoe, pepper, onion, and other vegetables goods",4781
5ae5e4e616ad4880ad6b762c2a6afb59121,1.0,"selling of many different types of goods, like tomatoes, papper, onions and many other goods selling of vegetables goods for her grandmother, like tomatoe, pepper, onion, orange and other goods",4781
14ff16cc120542cdb49cab82dd1ad16c111,1.0,"tailoring activities, making different types of design and style for making dresses for men and women prepared and completed dresses ready for use",1410
14ff16cc120542cdb49cab82dd1ad16c121,1.0,"raising many different types of animals like goats, sheeps, chicken, cows and other livestock raising livestock, like sheeps and goats for sales",0144
95763fcabcfc4cc6a5bb0be34fe88253111,1.0,"raising of many  different  kinds of animals for sales, like cows, sheeps, goat, chickens, and camels raising animals for sales, like cows, sheeps, goat and chickens",0144
95763fcabcfc4cc6a5bb0be34fe88253121,1.0,"raising many types of animals for sales, like cows, sheeps, goat, chickens and many other animals producing livestock like goat and sheeps for sales",0144
95763fcabcfc4cc6a5bb0be34fe88253131,1.0,"buying and selling of different types of goods like animals feeds and many other goods buying ,measuring and selling of animals feeds",4719
95763fcabcfc4cc6a5bb0be34fe88253151,1.0,"buying and selling of different types of goods like groundnut and vegetables oils, and many other goods buying and selling of groundnut and vegetables oils",4719
95763fcabcfc4cc6a5bb0be34fe88253161,1.0,"trading, selling of many different types of goods like groundnut and vegetables oils and many other goods selling of groundnut  and vegetables oils",4719
8127c4325ca9480489ae388d005ae80b111,1.0,buying and selling of many kind of goods like plastic products and many other goods for sales buying and selling of plastic products like bucket and basin,4649
8127c4325ca9480489ae388d005ae80b121,1.0,"buying and selling of many types of grains like rice, millet, guinea corn, beans and many other grains buying and selling of fresh rice  (gumi)",4721
e72f64a043d14929b647a13bc5d0d6ce111,1.0,"buying and selling of many types of animals meat, like goats, sheeps, cattle, rams, camel and other meat buying and selling of fresh cow and goats meat",1010
e72f64a043d14929b647a13bc5d0d6ce121,1.0,"dressmaker, making many types of design and style for sewing clothes completed dresses ready for use",1410
e72f64a043d14929b647a13bc5d0d6ce131,1.0,"using many types of beans for making many types of cake like akara cake, awara cake, cassava cake and other cake for sales prepared and fried awara food for sales to customers",5610
e72f64a043d14929b647a13bc5d0d6ce141,1.0,"buying and selling of many types of bread, cake ,and others buying and selling of bread and cake",4719
1784a03cb6d144eab4d2fac040904cfb311,1.0,"using metal for making many types of blacksmith products like hoe,cuttles, knives, rings and other blacksmith products producing hoe, knives, rings, cuttles and others for sales",2511
1784a03cb6d144eab4d2fac040904cfb321,1.0,"raising many types of livestock like goats, sheeps, cattle, rams, camel and other animals for sales raising livestock like goats and sheeps for sales",0144
1784a03cb6d144eab4d2fac040904cfb331,1.0,"making many types of cakes for sales,  like awara cake, cassava cake ,akara cake and other cake for sales prepared and fried awara food cake for sales to customers",5610
1784a03cb6d144eab4d2fac040904cfb341,1.0,"using metal for making many types of blacksmith products like hoe, knives, rings, cuttles and other blacksmith products for producing hoe, knives, rings, cuttles and other blacksmith products",2511
983aea8ec5cd4721b112d6bb533c6714211,1.0,"buying and selling of many types of provisions goods like soap, omo, biscuit, vegetables and groundnut oils, and other provisions goods buying and selling of provisions goods like soap, omo, biscuit, maggi, salt, sugar and others",4781
983aea8ec5cd4721b112d6bb533c6714221,1.0,"buying and selling of many kind of goods like groundnut, groundnut cake, dry okro, salt and others buying and selling of groundnut, groundnut cake and dry okro",4781
566c8db8b04e4dc9af566c18bf21a983611,1.0,"buying and selling of any kind of chicken ,  hen and fowls and many other chicken buying and selling of chicken,  hen and fowls",4620
af33f275a6ce42d78b403ff8bf2d1feb211,1.0,buying and selling of  sugar cane and other goods buying and selling of sugar cane,4781
af33f275a6ce42d78b403ff8bf2d1feb221,1.0,"raising many types of animals like goats, sheeps, chicken, cows, camels and other animals for sales raising livestock for sales, like goats, sheeps and chickens for sales",0144
af33f275a6ce42d78b403ff8bf2d1feb231,1.0,"buying and selling of different types of drinks, water, minerals, sobo and other drinks buying and selling of different types of drinks",5610
af33f275a6ce42d78b403ff8bf2d1feb241,1.0,"growing millet, guinea corn,beans, maize, and other crops produce  beans, guinea and millet",0111
46bc7b0ef7294f4aa4d9e74ad6a14269111,1.0,"making many kinds of blacksmith products for sales, like knives, hoe, cuttles etc blacksmiths activities ,producing  knives, hoe, cuttles and other blacksmith products for sales",2593
46bc7b0ef7294f4aa4d9e74ad6a14269121,1.0,"making many types of cake food, like akara cake, awara cake, cassava cake and many other cake for sales making and selling of beans  akara",5610
1deb7f5f324a472d8b8d2d82eb969077111,1.0,"trader, buying and selling of many types of provision goods like  sugar, bread, milk, salt, maggi, biscuits and other provision goods buying and selling of provision goods like sugar,maggi, biscuits, bread, milk and many other goods",4711
1deb7f5f324a472d8b8d2d82eb969077121,1.0,"making many types of foods for sales like guinea corn foods, rice food,maize food and other foods for sales selling  prepared and cooked guinea corn food",5610
1deb7f5f324a472d8b8d2d82eb969077131,1.0,"selling many types of provision goods like sugar, bread, milk, salt, maggi and other provision goods selling of provision goods like sugar, bread, milk, salt, maggi and others",4711
1deb7f5f324a472d8b8d2d82eb969077141,1.0,"selling of different types of goods like rice and beans, maize food, guinea corn food, and other foods selling of cooked rice and beans to customers",5610
1deb7f5f324a472d8b8d2d82eb969077161,1.0,"raising many types of animals like goats, sheeps,chicken and other animals raising livestock for sales like goats, sheeps and chickens",0144
c342d4741ca54baaaf26dfc61d57ab02111,1.0,"buying and selling of different types of grains like beans, maize, guinea corn, millet and other grains buying and selling of grains, millet, beans, guinea corn and maize",4781
c342d4741ca54baaaf26dfc61d57ab02121,1.0,"pap, akamu, kunu,using many different types of grains for like millet, guinea corn,maize and other grains for making pap for sales selling of prepared and boiled pap for sales",5610
9c7abfbbbfb64e15a36ca977ac8bc6f4111,1.0,buying and selling of fire wood and grass buying and selling of bundled fire wood,4773
9c7abfbbbfb64e15a36ca977ac8bc6f4121,1.0,"raising many types of animals for sales like goats, sheeps, chicken, cows, camels and other livestock raising livestock for sales like goats and sheeps",0144
c50f48752ea448ad8ed013d4ff047a9d131,1.0,"buying and selling of many kind of fruit, like orange, banana, watermelon, and other fruit buying and selling of orange,banana and watermelon",4721
feb71d79c7374ed0b051fc7d94cc399b111,1.0,"transport activities, using many types of vehicles and motorcycle for transportation, picking passengers and carrying loads for money picking and dropping passengers and collect money as commercial driver",4921
e8bae973b96844ff8ef72056e5e6a493111,1.0,"buying and buying of animals like cattle, goats, sheeps, and rams buying and selling cows and sheeps",4620
e8bae973b96844ff8ef72056e5e6a493121,1.0,"raising many types of livestock for sales like goats, sheeps, cattle, rams ,camel and other animals raising livestock for sales, goats, sheeps and chicken",0144
784232c23b4d430aabc9e1a1184d8c8a111,1.0,"using many types of vehicles for commercial transportation, like motorcycle for okada, and other vehicles for transportation picking and dropping of passengers and collect money to make transportation available in the village",4921
784232c23b4d430aabc9e1a1184d8c8a121,1.0,"raising many types of livestock for sales like goats, sheeps, cattle, rams and other livestock raising livestock for sales like goats, sheeps and chicken",0144
3f731340f35f4938b17091c09e9868ea121,1.0,"raising many types of livestock for sales like goats, sheeps, cattle, rams, camel and other animals raising livestock for sales like goats, sheeps and chicken",0144
3f731340f35f4938b17091c09e9868ea131,1.0,"buying and selling of many types of provisions goods like soap, omo  maggi, biscuit, vegetables and groundnut oils and other provisions goods buying and selling of provisions goods like soap,omo, maggi, biscuit and others",4719
3f731340f35f4938b17091c09e9868ea151,1.0,"making many types of foods for sales like rice, beans, guinea corn food, maize food and other foods selling of prepared masa food for sales to customers",5610
3f731340f35f4938b17091c09e9868ea161,1.0,"selling of many different kind of foods like rice. beans, masa ,and other foods selling of prepared and (masa food)",5610
bd27bc6b65c0490ca626f3aebef7c84c111,1.0,"buying and selling of different types of provision goods like sugar, salt, maggi, biscuits, vegetables and groundnut oils and other provision goods buying and selling of provision goods like sugar, salt, maggi, biscuits, vegetables and groundnut oils and other provision goods",4711
bd27bc6b65c0490ca626f3aebef7c84c121,1.0,buying and selling of many types of goods like kola nut and fresh nono buying and selling of kola nut and fresh nono,4781
bd27bc6b65c0490ca626f3aebef7c84c131,1.0,"selling of many types of provision goods like sugar, salt, maggi, biscuits, vegetables and groundnut oils and other provision goods selling of provision goods like sugar, salt, maggi, biscuits, vegetables and groundnut oils and other provision goods",4711
bd27bc6b65c0490ca626f3aebef7c84c141,1.0,"using many different types of beans for preparing and frying for making many different types of cake like akara cake, awara cake cassava cake and others selling prepared for fried awara food for sales to customers",5610
bd27bc6b65c0490ca626f3aebef7c84c151,1.0,"raising many types of animals for sales like goats, sheeps, chicken, cows and other animals for sales raising livestock for sales, goat and sheeps",0144
2e4476656665464b918f8a23ea53e273111,1.0,"raising many types of animals for sales like goats, sheeps and chickens raising livestock for sales like goats, sheeps and chickens",0144
2e4476656665464b918f8a23ea53e273121,1.0,"raising many types of animals for sales like goats, sheeps, chicken, cows and others raising livestock for sales like goats and sheeps",0144
2e4476656665464b918f8a23ea53e273131,1.0,"using many different types of vehicles and motorcycle for picking passengers and collect money picking and dropping of passengers for money,  and to make transporting available in the village",4921
2e4476656665464b918f8a23ea53e273141,1.0,"raising many types of animals for sales like goats,and sheeps raising livestock for sales like goats and sheeps",0144
f556dbb4d54042f0bcb3ad3e434ef8cf111,1.0,"buying and selling of many types of grains like millet, guinea corn, beans, maize,wheat and other goods buying and selling of grains and animals feeds, millet, beans, guinea corn, wheat and dussa",4711
f556dbb4d54042f0bcb3ad3e434ef8cf121,1.0,"raising many types of animals for sales like goats, sheeps, cows, camels and other livestock raising animals for sales, goats and sheeps",0144
f556dbb4d54042f0bcb3ad3e434ef8cf131,1.0,"selling of many types of grains and other goods, like millet, guinea corn,beans, maize, wheat, soyabeans and others selling of grains and animals feeds, like millet, guinea corn, beans  wheat and dussa",4711
57c77bbb33f849b0bc759579159a1dee111,1.0,"picking and dropping of passengers, using many different types of vehicles  for commercial transport picking and dropping of passengers as commercial transport and collect money, to make transportation easier in the village",4921
57c77bbb33f849b0bc759579159a1dee121,1.0,"raising many types of animals for sales like goats, sheeps, chicken, cows, camels and other livestock raising livestock for sales,  goat and sheeps",0144
ffa07bc5c3f94798ad4b06e58f7b6504111,1.0,"raising many types of animals like goats, sheeps and camels raising livestock for sales like goats, sheeps and camels",0144
ffa07bc5c3f94798ad4b06e58f7b6504121,1.0,"raising  many types of livestock ,like sheeps, goat, chickens, chickens and many other animals raising livestock, like sheeps, goat and chickens",0144
ffa07bc5c3f94798ad4b06e58f7b6504131,1.0,"buying and selling of many types of fruits, like orange, watermelon, banana, guava and many other fruits buying and selling of orange, banana and watermelons",1030
46fa92100ced49d7886180b818de7a43111,1.0,"slaughtering many types of livestock for sales like goats, sheeps, cattle, rams, camel and other animals buying and selling of  fried cow, goats and sheeps meat",4721
46fa92100ced49d7886180b818de7a43121,1.0,"buying and selling of many types of goods like vegetables leaves (kayan miya) and many other other goods buying and selling of vegetables leaves, tomatoes, pepper and onion",4781
46fa92100ced49d7886180b818de7a43131,1.0,"buying and selling of many types of goods like vegetables leaves, tomatoes, pepper, onion and many other goods selling of vegetables leaves, tomatoes, pepper, and onion",4781
46fa92100ced49d7886180b818de7a43181,1.0,"trading, buying and selling of many types of goods like gari (cassava grains) and other goods buying and selling of gari cassava grains",4781
d3843e125f6343259cd714d85d4a4669211,1.0,"buying and selling of wasted goods like aluminum, rubber, iron, accident vehicles and other wasted goods for sales buying and selling of wasted goods like aluminum, rubber, iron, accident vehicles and other wasted goods for sales",4669
e28fcfb315fd4768a1d98156f71bbc70111,1.0,"slaughtering many types of livestock for sales, like goats, sheeps, cattle, rams camel and other animals for sales buying and selling of fresh cow and goats meat",1010
e28fcfb315fd4768a1d98156f71bbc70121,1.0,buying and selling of many types of bulawus clothes ready made dresses bulawus dresses and other goods buying and selling of bulawus dresses ready made clothes,4771
205a617656504a8cb93d87cadd87a09d111,1.0,"trader, buying and selling of many types of goods like grains, millet, guinea corn, beans, maize and other goods buying and selling of grains like millet ,guinea corn, beans and maize",4781
205a617656504a8cb93d87cadd87a09d121,1.0,"trader, buying and selling of many types of goods like grains, millet, guinea corn, beans, maize, and other goods buying and selling of grains like millet, guinea corn, beans and maize",4781
e1adb69b8fd6455ea4c54aaad587e026111,1.0,"slaughtering many types of livestock for sales like goats, sheeps, rams, camel and other animals buying and selling of fried cow and goats meat",1010
e1adb69b8fd6455ea4c54aaad587e026121,1.0,"raising many types of livestock for sales like goats, sheeps, cattle, rams and other livestock raising livestock for sales like goats and sheeps",0144
e1adb69b8fd6455ea4c54aaad587e026131,1.0,"slaughtering many types of livestock like goats, sheeps, cattle, rams and other livestock for sales buying and selling of fried goats and sheeps meat",5610
e1adb69b8fd6455ea4c54aaad587e026141,1.0,"preparing many types of tea for sales, buying and selling of bread preparing and selling boiling water, (tea)  and bread",5610
e1adb69b8fd6455ea4c54aaad587e026151,1.0,"growing many types of crops like millet, guinea corn ,beans, maize and other crops producing millet, guinea corn and beans",0111
7bb7f227bc2b4b358a2de45130f57f64111,1.0,"raising many types of animals for sales, like cows, sheeps, goat, camels and other livestock raising livestock for sales like goats, sheeps and cattle",0144
7bb7f227bc2b4b358a2de45130f57f64121,1.0,"making many types of foods for sales like bula food, rice food guinea corn food and other foods for sales selling of prepared and cooked bula food to customers",5610
7bb7f227bc2b4b358a2de45130f57f64131,1.0,"buying and selling of many types of provision goods like sugar, bread, garri, kulikuli, and many other goods buying and selling of provision goods like sugar, bread, garri, and other provision goods",4711
7bb7f227bc2b4b358a2de45130f57f64141,1.0,"selling of many types of goods like provision and and other goods selling of provision goods like sugar, bread, milk, salt and other provision goods",4711
71c327db205a4f94989671b90ce33479211,1.0,"preparing many types tea  buying bread and cooking indomie for sales preparing tea, cooking indomie, buying, bread and sales",5610
b70d910d471e4032b1abd404c614b929211,1.0,catching many types of fish and selling catching and selling of fish to customers,0312
292f936594264a39b14ae2d13c376634111,1.0,"buying and selling of many types of goods like grains, millet, beans, guinea corn, maize and other goods buying and selling of grains, millet, beans, guinea corn, maize and other grains",0111
292f936594264a39b14ae2d13c376634121,1.0,"preparing and cooking many types of foods for sales, like rice and beans, tuwo shinkaf tuwo dawa,and other foods prepared and cooked rice and beans for sales",5610
292f936594264a39b14ae2d13c376634131,1.0,"slaughtering of many types of animals ,  for sales, like cows, sheeps, goat, and other animals selling of fried  cow and sheeps meat",1010
292f936594264a39b14ae2d13c376634141,1.0,"selling of many different types of foods like rice and beans and other foods selling of food, rice and beans",5610
0618216aec0d4cf287a59a91bc45a354211,1.0,"slaughtering of many different types of livestock for sales,like cows, sheeps, goat and other animals buying and selling of fried cows and sheeps meat for sale",1010
9bc7ab1a211d4c2fb80c75ceb85eb932121,1.0,henna drawing and designing for women and hair dressing hair dressing and henna design,9602
19760daf81c04fa395f946e8274db321111,1.0,"buying and selling of livestock and livestock producer like goat, sheeps rearing and raising of livestock,and producing of goat and sheeps",0144
19760daf81c04fa395f946e8274db321121,1.0,"buying and selling of blouses under wear clothes like women, girls and boys under wear women, girls, boys blouses under wear clothes",4771
19760daf81c04fa395f946e8274db321131,1.0,"services of engine like repairing other parts of the motorcycle repairing motorcycle, services other parts of motorcycle",4540
19760daf81c04fa395f946e8274db321171,1.0,sewing of clothes like women buba girls dress school uniform tailoring sewing of clothes like women buba girls dress boys dress,1410
19760daf81c04fa395f946e8274db321181,1.0,repairing and services of engine and other parts of the motor vehicle services and rearing of motor vehicle car like toyota nissan,4520
892cbfe5d77f4b62b87da1c0b4663d73111,1.0,"producer of livestock,like rearing and raising of goat and sheeps rearing and raising of livestock, livestock producer",0144
892cbfe5d77f4b62b87da1c0b4663d73121,1.0,selling of prepared cooked food like awara prepared cooked food like awara,5610
892cbfe5d77f4b62b87da1c0b4663d73131,1.0,"buying and selling of prepared, tea with bread seling of prepared tea with bread",5610
892cbfe5d77f4b62b87da1c0b4663d73141,1.0,"selling of sugar cane, buying in bundle and selling it in pieces like #100,50. retail selling of sugar cane",4799
892cbfe5d77f4b62b87da1c0b4663d73161,1.0,selling of prepared cooked food like rice and beans pepper and ok oil sales of prepared food like rice and beans pepper and ok oil,5610
0f368c0b95da4f079f155665400745ec221,1.0,buying and selling of clothes like women buba girls dress kaftan abada selling of clothes redy made clothes like kaftan abada etc,4771
0f368c0b95da4f079f155665400745ec231,1.0,selling of soft drinks like coca-cola fanta fure water mult drinks schweppes lacasera etc sales of soft drinks like coca-cola fanta fure water mult drinks schweppes lacasera etc,4722
5b7bb44bf99640fa91d3148241774eb9111,1.0,mixed crops farming activities like growing of millet guinea corn and beans growing of millet guinea corn and beans,0111
5b7bb44bf99640fa91d3148241774eb9121,1.0,selling of prepared cooked food like rice and beans pepper and ok oil seling of fast food like rice and beans pepper and ok oil,5610
9880bb292f9a42c6b3b828a301e321fd121,1.0,buying and selling of prepared cooked food like rice and beans selling of fast food like rice and beans,5610
9880bb292f9a42c6b3b828a301e321fd131,1.0,"servicing and repairing of motorcycle engine and other parts repair motorcycle mechanic, repairing and servicing of motorcycle",4540
31f4bc7c064c4c768a71b2cd1e2cfba7111,1.0,"buying and selling of livestock and producing, of livestock like goats and sheeps livestock producer, goats and sheeps",0144
31f4bc7c064c4c768a71b2cd1e2cfba7121,1.0,"sewing and miding of clothes and selling of materials designing and tailoring, materials",1410
9013f92ca4014cfbbfbb14f8a393ce0f121,1.0,buying and selling of prepared cooked food like awara seling of prepared cooked food like awara,5610
b3c54fa5effd42eca13e651dc23e1017121,1.0,buying and selling of prepared cooked food like rice and beans selling of food like rice and beans,4721
5756af51d6664c7bae28f33b1f40b788111,1.0,"raising and rearing of livestock like goats and sheeps livestock producer, rearing and raising of goats and sheeps",0144
5756af51d6664c7bae28f33b1f40b788121,1.0,"henna drawing designing for women, and hair dressing hair dressing and henna design",9602
5756af51d6664c7bae28f33b1f40b788131,1.0,"repairing and servicing of motor vehicle, motor vehicle engineering servicing and repairing of motor vehicle",4520
5756af51d6664c7bae28f33b1f40b788141,1.0,"repairing and servicing of motor vehicle motor vehicle mechanical engineering, servicing and repairing of motor vehicle",4520
1996e3c51ed34e468764ab87f3585ed0411,1.0,"growing of millet, guinea corn beans and maize millet, guinea corn, maize and beans",0111
1996e3c51ed34e468764ab87f3585ed0421,1.0,raising and producing of goat and sheeps rearing of animals like goat and sheeps,0144
2adf081294ce4adea2e73fa633ef6566111,1.0,"selling of millet, guinea corn, maize, beans and rice millet, guinea corn, maize, beans rice",4711
2adf081294ce4adea2e73fa633ef6566121,1.0,raising and producing of goat and sheeps rearing of goat and sheeps,0144
2adf081294ce4adea2e73fa633ef6566131,1.0,raising and producing of goat and sheeps rearing of goat and sheeps,0144
2adf081294ce4adea2e73fa633ef6566171,1.0,raising and producing of cattle and buffalo rearing of cattle and buffalo,0141
297e0cd3d03a4e30b796e10092f17628211,1.0,"growing of millet guinea corn and beans millet, guinea corn and beans",0111
297e0cd3d03a4e30b796e10092f17628221,1.0,"selling of vegetables oil grondnut cake and grondnut oil vegetables oil, grondnut cake and grondnut oil",4781
297e0cd3d03a4e30b796e10092f17628231,1.0,"growing of millet guinea corn and beans millet, guinea corn and beans",0111
