id,text
0111,"agriculture, forestry and fishing crop and animal production, hunting and related service activities growing of non-perennial crops growing of cereals (except rice), leguminous crops and oil seeds"
0112,"agriculture, forestry and fishing crop and animal production, hunting and related service activities growing of non-perennial crops growing of rice"
0113,"agriculture, forestry and fishing crop and animal production, hunting and related service activities growing of non-perennial crops growing of vegetables and melons, roots and tubers"
0114,"agriculture, forestry and fishing crop and animal production, hunting and related service activities growing of non-perennial crops growing of sugar cane"
0115,"agriculture, forestry and fishing crop and animal production, hunting and related service activities growing of non-perennial crops growing of tobacco"
0116,"agriculture, forestry and fishing crop and animal production, hunting and related service activities growing of non-perennial crops growing of fibre crops"
0119,"agriculture, forestry and fishing crop and animal production, hunting and related service activities growing of non-perennial crops growing of other non-perennial crops"
0121,"agriculture, forestry and fishing crop and animal production, hunting and related service activities growing of perennial crops growing of grapes"
0122,"agriculture, forestry and fishing crop and animal production, hunting and related service activities growing of perennial crops growing of tropical and subtropical fruits"
0123,"agriculture, forestry and fishing crop and animal production, hunting and related service activities growing of perennial crops growing of citrus fruits"
0124,"agriculture, forestry and fishing crop and animal production, hunting and related service activities growing of perennial crops growing of pome fruits and stone fruits"
0125,"agriculture, forestry and fishing crop and animal production, hunting and related service activities growing of perennial crops growing of other tree and bush fruits and nuts"
0126,"agriculture, forestry and fishing crop and animal production, hunting and related service activities growing of perennial crops growing of oleaginous fruits"
0127,"agriculture, forestry and fishing crop and animal production, hunting and related service activities growing of perennial crops growing of beverage crops"
0128,"agriculture, forestry and fishing crop and animal production, hunting and related service activities growing of perennial crops growing of spices, aromatic, drug and pharmaceutical crops"
0129,"agriculture, forestry and fishing crop and animal production, hunting and related service activities growing of perennial crops growing of other perennial crops"
0130,"agriculture, forestry and fishing crop and animal production, hunting and related service activities plant propagation plant propagation"
0141,"agriculture, forestry and fishing crop and animal production, hunting and related service activities animal production raising of cattle and buffaloes"
0142,"agriculture, forestry and fishing crop and animal production, hunting and related service activities animal production raising of horses and other equines"
0143,"agriculture, forestry and fishing crop and animal production, hunting and related service activities animal production raising of camels and camelids"
0144,"agriculture, forestry and fishing crop and animal production, hunting and related service activities animal production raising of sheep and goats"
0145,"agriculture, forestry and fishing crop and animal production, hunting and related service activities animal production raising of swine/pigs"
0146,"agriculture, forestry and fishing crop and animal production, hunting and related service activities animal production raising of poultry"
0149,"agriculture, forestry and fishing crop and animal production, hunting and related service activities animal production raising of other animals"
0150,"agriculture, forestry and fishing crop and animal production, hunting and related service activities mixed farming mixed farming"
0161,"agriculture, forestry and fishing crop and animal production, hunting and related service activities support activities to agriculture and post-harvest crop activities support activities for crop production"
0162,"agriculture, forestry and fishing crop and animal production, hunting and related service activities support activities to agriculture and post-harvest crop activities support activities for animal production"
0163,"agriculture, forestry and fishing crop and animal production, hunting and related service activities support activities to agriculture and post-harvest crop activities post-harvest crop activities"
0164,"agriculture, forestry and fishing crop and animal production, hunting and related service activities support activities to agriculture and post-harvest crop activities seed processing for propagation"
0170,"agriculture, forestry and fishing crop and animal production, hunting and related service activities hunting, trapping and related service activities hunting, trapping and related service activities"
0210,"agriculture, forestry and fishing forestry and logging silviculture and other forestry activities silviculture and other forestry activities"
0220,"agriculture, forestry and fishing forestry and logging logging logging"
0230,"agriculture, forestry and fishing forestry and logging gathering of non-wood forest products gathering of non-wood forest products"
0240,"agriculture, forestry and fishing forestry and logging support services to forestry support services to forestry"
0311,"agriculture, forestry and fishing fishing and aquaculture fishing marine fishing"
0312,"agriculture, forestry and fishing fishing and aquaculture fishing freshwater fishing"
0321,"agriculture, forestry and fishing fishing and aquaculture aquaculture marine aquaculture"
0322,"agriculture, forestry and fishing fishing and aquaculture aquaculture freshwater aquaculture"
0510,mining and quarrying mining of coal and lignite mining of hard coal mining of hard coal
0520,mining and quarrying mining of coal and lignite mining of lignite mining of lignite
0610,mining and quarrying extraction of crude petroleum and natural gas extraction of crude petroleum extraction of crude petroleum
0620,mining and quarrying extraction of crude petroleum and natural gas extraction of natural gas extraction of natural gas
0710,mining and quarrying mining of metal ores mining of iron ores mining of iron ores
0721,mining and quarrying mining of metal ores mining of non-ferrous metal ores mining of uranium and thorium ores
0729,mining and quarrying mining of metal ores mining of non-ferrous metal ores mining of other non-ferrous metal ores
0810,"mining and quarrying other mining and quarrying quarrying of stone, sand and clay quarrying of stone, sand and clay"
0891,mining and quarrying other mining and quarrying mining and quarrying n.e.c. mining of chemical and fertilizer minerals
0892,mining and quarrying other mining and quarrying mining and quarrying n.e.c. extraction of peat
0893,mining and quarrying other mining and quarrying mining and quarrying n.e.c. extraction of salt
0899,mining and quarrying other mining and quarrying mining and quarrying n.e.c. other mining and quarrying n.e.c.
0910,mining and quarrying mining support service activities support activities for petroleum and natural gas extraction support activities for petroleum and natural gas extraction
0990,mining and quarrying mining support service activities support activities for other mining and quarrying support activities for other mining and quarrying
1010,manufacturing manufacture of food products processing and preserving of meat processing and preserving of meat
1020,"manufacturing manufacture of food products processing and preserving of fish, crustaceans and molluscs processing and preserving of fish, crustaceans and molluscs"
1030,manufacturing manufacture of food products processing and preserving of fruit and vegetables processing and preserving of fruit and vegetables
1040,manufacturing manufacture of food products manufacture of vegetable and animal oils and fats manufacture of vegetable and animal oils and fats
1050,manufacturing manufacture of food products manufacture of dairy products manufacture of dairy products
1061,"manufacturing manufacture of food products manufacture of grain mill products, starches and starch products manufacture of grain mill products"
1062,"manufacturing manufacture of food products manufacture of grain mill products, starches and starch products manufacture of starches and starch products"
1071,manufacturing manufacture of food products manufacture of other food products manufacture of bakery products
1072,manufacturing manufacture of food products manufacture of other food products manufacture of sugar
1073,"manufacturing manufacture of food products manufacture of other food products manufacture of cocoa, chocolate and sugar confectionery"
1074,"manufacturing manufacture of food products manufacture of other food products manufacture of macaroni, noodles, couscous and similar farinaceous products "
1075,manufacturing manufacture of food products manufacture of other food products manufacture of prepared meals and dishes
1079,"manufacturing manufacture of food products manufacture of other food products manufacture of other food products n.e.c,"
1080,manufacturing manufacture of food products manufacture of prepared animal feeds manufacture of prepared animal feeds
1101,"manufacturing manufacture of beverages distilling, rectifying and blending of spirits distilling, rectifying and blending of spirits"
1102,"manufacturing manufacture of beverages distilling, rectifying and blending of spirits manufacture of wines"
1103,"manufacturing manufacture of beverages distilling, rectifying and blending of spirits manufacture of malt liquors and malt"
1104,"manufacturing manufacture of beverages distilling, rectifying and blending of spirits manufacture of soft drinks; production of mineral waters and other bottled waters "
1200,manufacturing manufacture of tobacco products manufacture of tobacco products manufacture of tobacco products
1311,"manufacturing manufacture of textiles spinning, weaving and finishing of textiles preparation and spinning of textile fibres"
1312,"manufacturing manufacture of textiles spinning, weaving and finishing of textiles weaving of textiles"
1313,"manufacturing manufacture of textiles spinning, weaving and finishing of textiles finishing of textiles"
1391,manufacturing manufacture of textiles manufacture of other textiles manufacture of knitted and crocheted fabrics
1392,"manufacturing manufacture of textiles manufacture of other textiles manufacture of made-up textile articles, except apparel"
1393,manufacturing manufacture of textiles manufacture of other textiles manufacture of carpets and rugs
1394,"manufacturing manufacture of textiles manufacture of other textiles manufacture of cordage, rope, twine and netting"
1399,manufacturing manufacture of textiles manufacture of other textiles manufacture of other textiles n.e.c.
1410,"manufacturing manufacture of wearing apparel manufacture of wearing apparel, except fur apparel manufacture of wearing apparel, except fur apparel"
1420,manufacturing manufacture of wearing apparel manufacture of articles of fur manufacture of articles of fur
1430,manufacturing manufacture of wearing apparel manufacture of knitted and crocheted apparel manufacture of knitted and crocheted apparel
1511,"manufacturing manufacture of leather and related products tanning and dressing of leather; manufacture of luggage, handbags, saddlery and harness; dressing and dyeing of fur tanning and dressing of leather; dressing and dyeing of fur"
1512,"manufacturing manufacture of leather and related products tanning and dressing of leather; manufacture of luggage, handbags, saddlery and harness; dressing and dyeing of fur manufacture of luggage, handbags and the like, saddlery and harness"
1520,manufacturing manufacture of leather and related products manufacture of footwear manufacture of footwear
1610,"manufacturing manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials sawmilling and planing of wood sawmilling and planing of wood"
1621,"manufacturing manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials manufacture of products of wood, cork, straw and plaiting materials manufacture of veneer sheets and wood-based panels"
1622,"manufacturing manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials manufacture of products of wood, cork, straw and plaiting materials manufacture of builders’ carpentry and joinery"
1623,"manufacturing manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials manufacture of products of wood, cork, straw and plaiting materials manufacture of wooden containers"
1629,"manufacturing manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials manufacture of products of wood, cork, straw and plaiting materials manufacture of other products of wood; manufacture of articles of cork, straw and plaiting materials"
1701,"manufacturing manufacture of paper and paper products manufacture of pulp, paper and paperboard manufacture of pulp, paper and paperboard"
1702,"manufacturing manufacture of paper and paper products manufacture of pulp, paper and paperboard manufacture of corrugated paper and paperboard and of containers of paper and paperboard"
1709,"manufacturing manufacture of paper and paper products manufacture of pulp, paper and paperboard manufacture of other articles of paper and paperboard"
1811,manufacturing printing and reproduction of recorded media printing and service activities related to printing printing
1812,manufacturing printing and reproduction of recorded media printing and service activities related to printing service activities related to printing
1820,manufacturing printing and reproduction of recorded media reproduction of recorded media reproduction of recorded media
1910,manufacturing manufacture of coke and refined petroleum products manufacture of coke oven products manufacture of coke oven products
1920,manufacturing manufacture of coke and refined petroleum products manufacture of refined petroleum products manufacture of refined petroleum products
2011,"manufacturing manufacture of chemicals and chemical products manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics and synthetic rubber in primary forms manufacture of basic chemicals"
2012,"manufacturing manufacture of chemicals and chemical products manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics and synthetic rubber in primary forms manufacture of fertilizers and nitrogen compounds"
2013,"manufacturing manufacture of chemicals and chemical products manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics and synthetic rubber in primary forms manufacture of plastics and synthetic rubber in primary forms"
2021,manufacturing manufacture of chemicals and chemical products manufacture of other chemical products manufacture of pesticides and other agrochemical products
2022,"manufacturing manufacture of chemicals and chemical products manufacture of other chemical products manufacture of paints, varnishes and similar coatings, printing ink and mastics"
2023,"manufacturing manufacture of chemicals and chemical products manufacture of other chemical products manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations"
2029,manufacturing manufacture of chemicals and chemical products manufacture of other chemical products manufacture of other chemical products n.e.c.
2030,manufacturing manufacture of chemicals and chemical products manufacture of man-made fibres manufacture of man-made fibres
2100,"manufacturing manufacture of pharmaceuticals, medicinal chemical and botanical products manufacture of pharmaceuticals, medicinal chemical and botanical products manufacture of pharmaceuticals, medicinal chemical and botanical products"
2211,manufacturing manufacture of rubber and plastics products manufacture of rubber products manufacture of rubber tyres and tubes; retreading and rebuilding of rubber tyres
2219,manufacturing manufacture of rubber and plastics products manufacture of rubber products manufacture of other rubber products
2220,manufacturing manufacture of rubber and plastics products manufacture of plastics products manufacture of plastics products
2310,manufacturing manufacture of other non-metallic mineral products manufacture of glass and glass products manufacture of glass and glass products
2391,manufacturing manufacture of other non-metallic mineral products manufacture of non-metallic mineral products n.e.c. manufacture of refractory products
2392,manufacturing manufacture of other non-metallic mineral products manufacture of non-metallic mineral products n.e.c. manufacture of clay building materials
2393,manufacturing manufacture of other non-metallic mineral products manufacture of non-metallic mineral products n.e.c. manufacture of other porcelain and ceramic products
2394,"manufacturing manufacture of other non-metallic mineral products manufacture of non-metallic mineral products n.e.c. manufacture of cement, lime and plaster"
2395,"manufacturing manufacture of other non-metallic mineral products manufacture of non-metallic mineral products n.e.c. manufacture of articles of concrete, cement and plaster"
2396,"manufacturing manufacture of other non-metallic mineral products manufacture of non-metallic mineral products n.e.c. cutting, shaping and finishing of stone"
2399,manufacturing manufacture of other non-metallic mineral products manufacture of non-metallic mineral products n.e.c. manufacture of other non-metallic mineral products n.e.c.
2410,manufacturing manufacture of basic metals manufacture of basic iron and steel manufacture of basic iron and steel
2420,manufacturing manufacture of basic metals manufacture of basic precious and other non-ferrous metals manufacture of basic precious and other non-ferrous metals
2431,manufacturing manufacture of basic metals casting of metals casting of iron and steel
2432,manufacturing manufacture of basic metals casting of metals casting of non-ferrous metals
2511,"manufacturing manufacture of fabricated metal products, except machinery and equipment manufacture of structural metal products, tanks, reservoirs and steam generators manufacture of structural metal products"
2512,"manufacturing manufacture of fabricated metal products, except machinery and equipment manufacture of structural metal products, tanks, reservoirs and steam generators manufacture of tanks, reservoirs and containers of metal"
2513,"manufacturing manufacture of fabricated metal products, except machinery and equipment manufacture of structural metal products, tanks, reservoirs and steam generators manufacture of steam generators, except central heating hot water boilers"
2520,"manufacturing manufacture of fabricated metal products, except machinery and equipment manufacture of weapons and ammunition manufacture of weapons and ammunition"
2591,"manufacturing manufacture of fabricated metal products, except machinery and equipment manufacture of other fabricated metal products; metalworking service activities forging, pressing, stamping and roll-forming of metal; powder metallurgy"
2592,"manufacturing manufacture of fabricated metal products, except machinery and equipment manufacture of other fabricated metal products; metalworking service activities treatment and coating of metals; machining"
2593,"manufacturing manufacture of fabricated metal products, except machinery and equipment manufacture of other fabricated metal products; metalworking service activities manufacture of cutlery, hand tools and general hardware"
2599,"manufacturing manufacture of fabricated metal products, except machinery and equipment manufacture of other fabricated metal products; metalworking service activities manufacture of other fabricated metal products n.e.c."
2610,manufacturing manufacture of optical instruments and photographic equipment manufacture of electronic components and boards manufacture of electronic components and boards
2620,manufacturing manufacture of optical instruments and photographic equipment manufacture of computers and peripheral equipment manufacture of computers and peripheral equipment
2630,manufacturing manufacture of optical instruments and photographic equipment manufacture of communication equipment manufacture of communication equipment
2640,manufacturing manufacture of optical instruments and photographic equipment manufacture of consumer electronics manufacture of consumer electronics
2651,"manufacturing manufacture of optical instruments and photographic equipment manufacture of measuring, testing, navigating and control equipment; watches and
clock manufacture of measuring, testing, navigating and control equipment"
2652,"manufacturing manufacture of optical instruments and photographic equipment manufacture of measuring, testing, navigating and control equipment; watches and
clock manufacture of watches and clocks"
2660,"manufacturing manufacture of optical instruments and photographic equipment manufacture of irradiation, electromedical and electrotherapeutic equipment manufacture of irradiation, electromedical and electrotherapeutic equipment"
2670,manufacturing manufacture of optical instruments and photographic equipment manufacture of optical instruments and photographic equipment manufacture of optical instruments and photographic equipment
2680,manufacturing manufacture of optical instruments and photographic equipment manufacture of magnetic and optical media manufacture of magnetic and optical media
2710,"manufacturing manufacture of electrical equipment manufacture of electric motors, generators, transformers and electricity distribution and control apparatus manufacture of electric motors, generators, transformers and electricity distribution and control apparatus"
2720,manufacturing manufacture of electrical equipment manufacture of batteries and accumulators manufacture of batteries and accumulators
2731,manufacturing manufacture of electrical equipment manufacture of wiring and wiring devices manufacture of fibre optic cables
2732,manufacturing manufacture of electrical equipment manufacture of wiring and wiring devices manufacture of other electronic and electric wires and cables
2733,manufacturing manufacture of electrical equipment manufacture of wiring and wiring devices manufacture of wiring devices
2740,manufacturing manufacture of electrical equipment manufacture of electric lighting equipment manufacture of electric lighting equipment
2750,manufacturing manufacture of electrical equipment manufacture of domestic appliances manufacture of domestic appliances
2790,manufacturing manufacture of electrical equipment manufacture of other electrical equipment manufacture of other electrical equipment
2811,"manufacturing manufacture of machinery and equipment n.e.c. manufacture of general-purpose machinery manufacture of engines and turbines, except aircraft, vehicle and cycle engines"
2812,manufacturing manufacture of machinery and equipment n.e.c. manufacture of general-purpose machinery manufacture of fluid power equipment
2813,"manufacturing manufacture of machinery and equipment n.e.c. manufacture of general-purpose machinery manufacture of other pumps, compressors, taps and valves"
2814,"manufacturing manufacture of machinery and equipment n.e.c. manufacture of general-purpose machinery manufacture of bearings, gears, gearing and driving elements"
2815,"manufacturing manufacture of machinery and equipment n.e.c. manufacture of general-purpose machinery manufacture of ovens, furnaces and furnace burners"
2816,manufacturing manufacture of machinery and equipment n.e.c. manufacture of general-purpose machinery manufacture of lifting and handling equipment
2817,manufacturing manufacture of machinery and equipment n.e.c. manufacture of general-purpose machinery manufacture of office machinery and equipment (except computers and peripheral equipment)
2818,manufacturing manufacture of machinery and equipment n.e.c. manufacture of general-purpose machinery manufacture of power-driven hand tools
2819,manufacturing manufacture of machinery and equipment n.e.c. manufacture of general-purpose machinery manufacture of other general-purpose machinery
2821,manufacturing manufacture of machinery and equipment n.e.c. manufacture of special-purpose machinery manufacture of agricultural and forestry machinery
2822,manufacturing manufacture of machinery and equipment n.e.c. manufacture of special-purpose machinery manufacture of metal-forming machinery and machine tools
2823,manufacturing manufacture of machinery and equipment n.e.c. manufacture of special-purpose machinery manufacture of machinery for metallurgy
2824,"manufacturing manufacture of machinery and equipment n.e.c. manufacture of special-purpose machinery manufacture of machinery for mining, quarrying and construction"
2825,"manufacturing manufacture of machinery and equipment n.e.c. manufacture of special-purpose machinery manufacture of machinery for food, beverage and tobacco processing"
2826,"manufacturing manufacture of machinery and equipment n.e.c. manufacture of special-purpose machinery manufacture of machinery for textile, apparel and leather production"
2829,manufacturing manufacture of machinery and equipment n.e.c. manufacture of special-purpose machinery manufacture of other special-purpose machinery
2910,"manufacturing manufacture of motor vehicles, trailers and semi-trailers manufacture of motor vehicles manufacture of motor vehicles"
2920,"manufacturing manufacture of motor vehicles, trailers and semi-trailers manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers"
2930,"manufacturing manufacture of motor vehicles, trailers and semi-trailers manufacture of parts and accessories for motor vehicles manufacture of parts and accessories for motor vehicles"
3011,manufacturing manufacture of other transport equipment building of ships and boats building of ships and floating structures
3012,manufacturing manufacture of other transport equipment building of ships and boats building of pleasure and sporting boats
3020,manufacturing manufacture of other transport equipment manufacture of railway locomotives and rolling stock manufacture of railway locomotives and rolling stock
3030,manufacturing manufacture of other transport equipment manufacture of air and spacecraft and related machinery manufacture of air and spacecraft and related machinery
3040,manufacturing manufacture of other transport equipment manufacture of military fighting vehicles manufacture of military fighting vehicles
3091,manufacturing manufacture of other transport equipment manufacture of transport equipment n.e.c. manufacture of motorcycles
3092,manufacturing manufacture of other transport equipment manufacture of transport equipment n.e.c. manufacture of bicycles and invalid carriages
3099,manufacturing manufacture of other transport equipment manufacture of transport equipment n.e.c. manufacture of other transport equipment n.e.c.
3100,manufacturing manufacture of furniture manufacture of furniture manufacture of furniture
3211,"manufacturing other manufacturing manufacture of jewellery, bijouterie and related articles manufacture of jewellery and related articles"
3212,"manufacturing other manufacturing manufacture of jewellery, bijouterie and related articles manufacture of imitation jewellery and related articles"
3220,manufacturing other manufacturing manufacture of musical instruments manufacture of musical instruments
3230,manufacturing other manufacturing manufacture of sports goods manufacture of sports goods
3240,manufacturing other manufacturing manufacture of games and toys manufacture of games and toys
3250,manufacturing other manufacturing manufacture of medical and dental instruments and supplies manufacture of medical and dental instruments and supplies
3290,manufacturing other manufacturing other manufacturing n.e.c. other manufacturing n.e.c.
3311,"manufacturing repair and installation of machinery and equipment repair of fabricated metal products, machinery and equipment repair of fabricated metal products"
3312,"manufacturing repair and installation of machinery and equipment repair of fabricated metal products, machinery and equipment repair of machinery"
3313,"manufacturing repair and installation of machinery and equipment repair of fabricated metal products, machinery and equipment repair of electronic and optical equipment"
3314,"manufacturing repair and installation of machinery and equipment repair of fabricated metal products, machinery and equipment repair of electrical equipment"
3315,"manufacturing repair and installation of machinery and equipment repair of fabricated metal products, machinery and equipment repair of transport equipment, except motor vehicles"
3319,"manufacturing repair and installation of machinery and equipment repair of fabricated metal products, machinery and equipment repair of other equipment"
3320,manufacturing repair and installation of machinery and equipment installation of industrial machinery and equipment installation of industrial machinery and equipment
3510,"electricity, gas, steam and air conditioning supply electricity, gas, steam and air conditioning supply electric power generation, transmission and distribution electric power generation, transmission and distribution"
3520,"electricity, gas, steam and air conditioning supply electricity, gas, steam and air conditioning supply manufacture of gas; distribution of gaseous fuels through mains manufacture of gas; distribution of gaseous fuels through mains"
3530,"electricity, gas, steam and air conditioning supply electricity, gas, steam and air conditioning supply steam and air conditioning supply steam and air conditioning supply"
3600,"water supply; sewerage, waste management and remediation activities water collection, treatment and supply water collection, treatment and supply water collection, treatment and supply"
3700,"water supply; sewerage, waste management and remediation activities sewerage sewerage sewerage"
3811,"water supply; sewerage, waste management and remediation activities waste collection, treatment and disposal activities; materials recovery waste collection collection of non-hazardous waste"
3812,"water supply; sewerage, waste management and remediation activities waste collection, treatment and disposal activities; materials recovery waste collection collection of hazardous waste"
3821,"water supply; sewerage, waste management and remediation activities waste collection, treatment and disposal activities; materials recovery waste treatment and disposal treatment and disposal of non-hazardous waste"
3822,"water supply; sewerage, waste management and remediation activities waste collection, treatment and disposal activities; materials recovery waste treatment and disposal treatment and disposal of hazardous waste"
3830,"water supply; sewerage, waste management and remediation activities waste collection, treatment and disposal activities; materials recovery materials recovery materials recovery"
3900,"water supply; sewerage, waste management and remediation activities remediation activities and other waste management services remediation activities and other waste management services remediation activities and other waste management services"
4100,construction construction of buildings construction of buildings construction of buildings
4210,construction civil engineering construction of roads and railways construction of roads and railways
4220,construction civil engineering construction of utility projects construction of utility projects
4290,construction civil engineering construction of other civil engineering projects construction of other civil engineering projects
4311,construction specialized construction activities demolition and site preparation demolition
4312,construction specialized construction activities demolition and site preparation site preparation
4321,"construction specialized construction activities electrical, plumbing and other construction installation activities electrical installation"
4322,"construction specialized construction activities electrical, plumbing and other construction installation activities plumbing, heat and air-conditioning installation"
4329,"construction specialized construction activities electrical, plumbing and other construction installation activities other construction installation"
4330,construction specialized construction activities building completion and finishing building completion and finishing
4390,construction specialized construction activities other specialized construction activities other specialized construction activities
4510,wholesale and retail trade; repair of motor vehicles and motorcycles wholesale and retail trade and repair of motor vehicles and motorcycles sale of motor vehicles sale of motor vehicles
4520,wholesale and retail trade; repair of motor vehicles and motorcycles wholesale and retail trade and repair of motor vehicles and motorcycles maintenance and repair of motor vehicles maintenance and repair of motor vehicles
4530,wholesale and retail trade; repair of motor vehicles and motorcycles wholesale and retail trade and repair of motor vehicles and motorcycles sale of motor vehicle parts and accessories sale of motor vehicle parts and accessories
